Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Target_Property,Sample_ID,Total_WT%,Notes
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,6.88,CC(C)O,Isopropanol,58.34,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,34.78,-2.24,MIX0055,100.0,Synthetic mixture data
c1ccccc1,Benzene,34.75,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,54.65,CC(=O)Oc1ccccc1C(=O)O,Aspirin,10.59,3.812,MIX0056,99.99000000000001,Synthetic mixture data
CC(C)O,Isopropanol,20.6,c1ccccc1,Benzene,46.24,CCO,Ethanol,33.17,1.333,MIX0057,100.01,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.47,CCC1=CC(=C(C=C1)O)C=O,Vanillin,21.32,CC1=CC=CC=C1,Toluene,39.22,-1.355,MIX0058,100.00999999999999,Synthetic mixture data
c1ccccc1,Benzene,16.08,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,39.8,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,44.12,1.695,MIX0059,100.0,Synthetic mixture data
c1ccccc1,Benzene,45.15,CCO,Ethanol,14.91,CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.93,0.174,MIX0060,99.99000000000001,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,34.82,CC1=CC=CC=C1,Toluene,40.07,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,25.11,0.061,MIX0061,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.91,CCC1=CC(=C(C=C1)O)C=O,Vanillin,19.29,CC1=CC=CC=C1,Toluene,42.8,1.574,MIX0062,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,43.7,c1ccccc1,Benzene,34.06,CC(=O)Oc1ccccc1C(=O)O,Aspirin,22.25,4.853,MIX0063,100.01,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,45.98,CC1=CC=CC=C1,Toluene,17.77,CCO,Ethanol,36.26,1.056,MIX0064,100.00999999999999,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,51.61,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,36.08,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,12.31,1.798,MIX0065,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,43.37,CC(=O)Oc1ccccc1C(=O)O,Aspirin,33.72,CC1=CC=CC=C1,Toluene,22.91,1.611,MIX0066,100.0,Synthetic mixture data
CCO,Ethanol,17.36,CC(C)O,Isopropanol,61.02,CCC1=CC(=C(C=C1)O)C=O,Vanillin,21.62,-0.296,MIX0067,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,27.97,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,16.3,CC(C)O,Isopropanol,55.73,0.757,MIX0068,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,46.46,CC(C)O,Isopropanol,13.31,CCO,Ethanol,40.24,3.658,MIX0069,100.01,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,47.85,c1ccccc1,Benzene,5.6,CCC1=CC(=C(C=C1)O)C=O,Vanillin,46.55,-0.269,MIX0070,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,23.58,CC1=CC=CC=C1,Toluene,29.73,CCO,Ethanol,46.69,2.852,MIX0071,100.0,Synthetic mixture data
CCO,Ethanol,11.31,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,16.97,c1ccccc1,Benzene,71.72,1.292,MIX0072,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,30.19,CCC1=CC(=C(C=C1)O)C=O,Vanillin,57.36,CC1=CC=CC=C1,Toluene,12.45,1.415,MIX0073,100.0,Synthetic mixture data
CC(C)O,Isopropanol,14.96,c1ccccc1,Benzene,41.17,CC1=CC=CC=C1,Toluene,43.87,4.913,MIX0074,100.0,Synthetic mixture data
c1ccccc1,Benzene,46.81,CC(C)O,Isopropanol,34.47,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,18.72,0.893,MIX0075,100.0,Synthetic mixture data
CC(C)O,Isopropanol,14.08,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,26.65,CCC1=CC(=C(C=C1)O)C=O,Vanillin,59.27,-0.085,MIX0076,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,27.77,CC(=O)Oc1ccccc1C(=O)O,Aspirin,52.1,CC1=CC=CC=C1,Toluene,20.14,0.303,MIX0077,100.01,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,45.55,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,17.86,CC(C)O,Isopropanol,36.59,3.353,MIX0078,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,8.33,CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.17,CC1=CC=CC=C1,Toluene,53.5,3.305,MIX0079,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,35.72,c1ccccc1,Benzene,42.11,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,22.17,6.297,MIX0080,100.0,Synthetic mixture data
CCO,Ethanol,33.72,CC1=CC=CC=C1,Toluene,57.66,c1ccccc1,Benzene,8.61,2.243,MIX0081,99.99,Synthetic mixture data
CC1=CC=CC=C1,Toluene,59.46,CC(C)O,Isopropanol,8.76,CC(C)O,Isopropanol,31.78,1.91,MIX0082,100.0,Synthetic mixture data
c1ccccc1,Benzene,29.33,CC(=O)Oc1ccccc1C(=O)O,Aspirin,31.98,CC(C)O,Isopropanol,38.69,2.632,MIX0083,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,46.37,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,42.89,c1ccccc1,Benzene,10.74,1.552,MIX0084,99.99999999999999,Synthetic mixture data
c1ccccc1,Benzene,42.69,CCO,Ethanol,30.69,CC(=O)Oc1ccccc1C(=O)O,Aspirin,26.62,1.027,MIX0085,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,21.5,CC(=O)Oc1ccccc1C(=O)O,Aspirin,50.94,CCC1=CC(=C(C=C1)O)C=O,Vanillin,27.56,3.583,MIX0086,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,19.55,c1ccccc1,Benzene,56.44,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,24.01,-1.557,MIX0087,100.0,Synthetic mixture data
CC(C)O,Isopropanol,19.92,c1ccccc1,Benzene,13.45,CCO,Ethanol,66.62,-1.097,MIX0088,99.99000000000001,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,49.18,CC(C)O,Isopropanol,40.98,CC1=CC=CC=C1,Toluene,9.84,-0.995,MIX0089,100.0,Synthetic mixture data
c1ccccc1,Benzene,27.65,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,45.62,CC(C)O,Isopropanol,26.73,2.343,MIX0090,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.7,CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.61,c1ccccc1,Benzene,24.69,2.156,MIX0091,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,19.3,CC(C)O,Isopropanol,56.75,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,23.95,2.208,MIX0092,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,34.07,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,9.48,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,56.45,3.594,MIX0093,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.73,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,19.08,CC1=CC=CC=C1,Toluene,41.19,2.949,MIX0094,100.0,Synthetic mixture data
c1ccccc1,Benzene,67.56,CC1=CC=CC=C1,Toluene,13.11,CC(=O)Oc1ccccc1C(=O)O,Aspirin,19.33,0.472,MIX0095,100.0,Synthetic mixture data
CC(C)O,Isopropanol,17.26,CCC1=CC(=C(C=C1)O)C=O,Vanillin,69.87,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,12.87,2.737,MIX0096,100.00000000000001,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,17.04,CC(C)O,Isopropanol,46.35,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,36.6,2.987,MIX0097,99.99000000000001,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.53,CC1=CC=CC=C1,Toluene,41.12,CC(C)O,Isopropanol,24.35,-4.409,MIX0098,100.0,Synthetic mixture data
CC(C)O,Isopropanol,8.59,c1ccccc1,Benzene,49.13,CC(=O)Oc1ccccc1C(=O)O,Aspirin,42.28,0.78,MIX0099,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,35.98,CCO,Ethanol,33.85,CC(=O)Oc1ccccc1C(=O)O,Aspirin,30.17,0.384,MIX0100,100.0,Synthetic mixture data
