Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,pH,StirringSpeed_rpm,ReactionTime_h,Target_Property,Sample_ID,Total_WT%,Notes
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,48.85,CC(C)O,Isopropanol,10.61,CC(=O)Oc1ccccc1C(=O)O,Aspirin,40.54,64.03,75.46,0.929,8.27,371.7,5.51,1.881,MIX_DBG0018,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,11.35,CC(C)O,Isopropanol,64.18,CC(=O)Oc1ccccc1C(=O)O,Aspirin,24.47,67.4,89.42,1.901,7.85,560.9,17.33,4.122,MIX_DBG0019,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,46.66,CCC1=CC(=C(C=C1)O)C=O,Vanillin,27.94,CC(C)O,Isopropanol,25.4,70.57,53.98,0.897,6.66,655.1,19.99,3.885,MIX_DBG0020,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,40.65,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,31.17,CC(=O)Oc1ccccc1C(=O)O,Aspirin,28.17,37.54,86.3,0.869,5.6,972.3,4.27,1.357,MIX_DBG0021,99.99,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,29.35,CC1=CC=CC=C1,Toluene,27.1,CCC1=CC(=C(C=C1)O)C=O,Vanillin,43.55,68.6,76.35,1.316,8.61,818.7,16.06,2.831,MIX_DBG0022,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,36.73,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,23.28,CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.99,26.26,71.77,1.084,6.69,133.7,22.79,1.91,MIX_DBG0023,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,21.11,CC(=O)Oc1ccccc1C(=O)O,Aspirin,35.87,CC(C)O,Isopropanol,43.02,41.13,37.85,1.991,5.3,457.0,15.65,4.973,MIX_DBG0024,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,47.81,CC(=O)Oc1ccccc1C(=O)O,Aspirin,30.63,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,21.55,59.02,38.67,1.677,6.56,266.2,5.06,2.828,MIX_DBG0025,99.99,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,17.16,CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.65,CC1=CC=CC=C1,Toluene,45.19,35.78,52.48,0.954,8.44,868.8,3.05,-0.782,MIX_DBG0026,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,26.87,CC(C)O,Isopropanol,43.51,CC(C)O,Isopropanol,29.62,65.18,30.2,1.368,8.51,232.6,1.86,5.24,MIX_DBG0027,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,38.9,CC(=O)Oc1ccccc1C(=O)O,Aspirin,43.5,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,17.6,32.8,39.08,1.362,7.76,161.4,14.51,2.938,MIX_DBG0028,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,12.22,CC1=CC=CC=C1,Toluene,45.97,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,41.81,28.8,89.06,1.732,7.31,968.3,2.03,4.286,MIX_DBG0029,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,40.82,CC(C)O,Isopropanol,24.13,CC1=CC=CC=C1,Toluene,35.05,49.99,35.56,0.974,6.95,432.3,22.19,4.463,MIX_DBG0030,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,25.46,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,26.56,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.97,74.52,37.03,1.086,6.3,918.6,9.03,1.111,MIX_DBG0031,99.99,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,22.37,c1ccccc1,Benzene,36.96,CC(C)O,Isopropanol,40.67,46.57,74.34,1.567,7.8,919.7,10.06,-0.019,MIX_DBG0032,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,57.34,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,15.68,c1ccccc1,Benzene,26.98,47.12,66.54,1.571,9.92,502.8,9.93,0.91,MIX_DBG0033,100.00000000000001,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,46.98,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,44.22,CCO,Ethanol,8.8,34.45,54.59,1.72,8.04,692.5,11.41,3.846,MIX_DBG0034,99.99999999999999,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,46.41,CC(C)O,Isopropanol,22.85,CCO,Ethanol,30.74,38.68,69.03,1.16,7.25,896.1,10.76,2.994,MIX_DBG0035,99.99999999999999,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,45.62,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,32.46,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,21.92,76.0,54.52,1.336,6.94,770.7,19.08,1.693,MIX_DBG0036,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,43.73,CC(C)O,Isopropanol,18.93,c1ccccc1,Benzene,37.33,37.9,47.25,0.883,4.55,900.9,22.72,3.23,MIX_DBG0037,99.99,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,10.16,CC1=CC=CC=C1,Toluene,34.38,CCO,Ethanol,55.46,32.25,59.96,1.26,4.5,883.5,13.56,1.785,MIX_DBG0038,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,45.51,c1ccccc1,Benzene,47.22,c1ccccc1,Benzene,7.26,34.48,83.7,1.908,4.49,812.5,18.93,2.156,MIX_DBG0039,99.99,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,31.41,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,9.69,CC(C)O,Isopropanol,58.89,61.56,38.63,1.099,9.82,877.7,7.48,-0.404,MIX_DBG0040,99.99000000000001,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,56.66,CCC1=CC(=C(C=C1)O)C=O,Vanillin,18.55,CC1=CC=CC=C1,Toluene,24.79,20.96,38.7,1.428,7.35,882.4,22.79,1.099,MIX_DBG0041,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,52.23,CC(=O)Oc1ccccc1C(=O)O,Aspirin,38.99,c1ccccc1,Benzene,8.78,66.7,75.59,1.905,7.22,793.7,5.65,2.419,MIX_DBG0042,100.0,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,9.15,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,50.66,CCO,Ethanol,40.2,76.44,42.63,1.341,5.5,155.4,2.62,3.999,MIX_DBG0043,100.00999999999999,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,31.38,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,38.96,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,29.66,41.66,33.41,1.921,8.04,308.3,8.29,3.172,MIX_DBG0044,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,12.52,CCO,Ethanol,44.07,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,43.41,52.41,41.61,1.733,6.41,555.4,21.36,0.965,MIX_DBG0045,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,28.42,CCO,Ethanol,37.64,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,33.94,21.58,43.66,0.875,9.95,828.2,13.62,3.195,MIX_DBG0046,100.0,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,34.8,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,42.22,CC1=CC=CC=C1,Toluene,22.98,69.17,82.14,1.333,6.45,195.3,9.97,3.872,MIX_DBG0047,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,38.26,CC(C)O,Isopropanol,24.91,CC(C)O,Isopropanol,36.83,68.56,71.72,1.298,9.78,154.3,3.54,4.946,MIX_DBG0048,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,31.85,CC1=CC=CC=C1,Toluene,11.94,CCO,Ethanol,56.21,71.05,66.1,1.83,9.35,603.1,4.23,3.128,MIX_DBG0049,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,22.01,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,48.62,CC(=O)Oc1ccccc1C(=O)O,Aspirin,29.37,23.16,38.05,1.739,5.35,823.6,1.36,2.984,MIX_DBG0050,100.0,Synthetic mixture data with numeric features for debugging
