Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,pH,StirringSpeed_rpm,ReactionTime_h,Target_Property,Sample_ID,Total_WT%,Notes
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,38.87,CCC1=CC(=C(C=C1)O)C=O,Vanillin,52.44,CC(C)O,Isopropanol,8.69,67.76,44.86,1.587,5.19,367.2,23.96,5.444,MIX_DBG0011,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,48.79,CC(=O)Oc1ccccc1C(=O)O,Aspirin,18.5,CCO,Ethanol,32.71,77.23,73.65,1.737,9.87,444.0,12.79,3.386,MIX_DBG0012,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,40.01,CC(=O)Oc1ccccc1C(=O)O,Aspirin,34.77,CCO,Ethanol,25.22,27.38,35.69,0.995,5.57,402.4,2.94,1.235,MIX_DBG0013,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,34.43,CC(=O)Oc1ccccc1C(=O)O,Aspirin,26.66,CC1=CC=CC=C1,Toluene,38.91,40.51,74.38,1.184,6.79,936.0,9.15,0.246,MIX_DBG0014,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,32.91,CC(C)O,Isopropanol,44.69,CC1=CC=CC=C1,Toluene,22.4,78.13,32.72,1.086,9.46,294.4,10.53,4.709,MIX_DBG0015,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,39.7,CCC1=CC(=C(C=C1)O)C=O,Vanillin,21.9,CC1=CC=CC=C1,Toluene,38.4,32.47,50.26,1.833,8.62,513.2,20.42,5.005,MIX_DBG0016,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,51.31,CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.15,c1ccccc1,Benzene,9.54,61.85,55.57,1.915,9.05,891.8,16.61,2.746,MIX_DBG0017,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,46.12,CC(C)O,Isopropanol,25.12,CCO,Ethanol,28.75,61.09,64.79,1.784,9.49,958.0,11.63,-0.55,MIX_DBG0018,99.99,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,51.06,CC(C)O,Isopropanol,38.41,c1ccccc1,Benzene,10.53,43.86,64.95,1.904,5.03,203.3,13.63,2.341,MIX_DBG0019,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,43.87,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,45.93,CC(=O)Oc1ccccc1C(=O)O,Aspirin,10.2,74.13,46.1,1.508,5.27,354.7,2.45,4.739,MIX_DBG0020,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,11.51,CCC1=CC(=C(C=C1)O)C=O,Vanillin,20.59,CC(C)O,Isopropanol,67.9,27.24,74.1,1.958,6.69,366.8,18.79,2.32,MIX_DBG0021,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,30.25,CCO,Ethanol,42.96,CC1=CC=CC=C1,Toluene,26.8,42.98,82.18,1.816,5.84,430.3,22.65,1.927,MIX_DBG0022,100.01,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,36.27,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,19.18,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,44.55,23.68,66.8,1.453,6.05,844.8,20.57,4.644,MIX_DBG0023,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,25.71,CC1=CC=CC=C1,Toluene,33.74,CC(C)O,Isopropanol,40.55,70.29,64.77,1.647,4.48,232.1,22.46,2.544,MIX_DBG0024,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,27.59,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,32.54,CC(=O)Oc1ccccc1C(=O)O,Aspirin,39.86,23.1,39.24,0.935,5.77,474.9,5.44,1.596,MIX_DBG0025,99.99,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,17.76,c1ccccc1,Benzene,37.66,c1ccccc1,Benzene,44.58,52.59,70.28,1.745,4.92,104.2,12.73,2.159,MIX_DBG0026,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,11.57,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,50.52,CC(C)O,Isopropanol,37.91,57.6,85.09,1.605,4.73,635.2,12.04,0.437,MIX_DBG0027,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,37.01,CC(=O)Oc1ccccc1C(=O)O,Aspirin,45.83,CC(=O)Oc1ccccc1C(=O)O,Aspirin,17.16,23.2,43.17,1.548,5.67,807.4,15.1,4.091,MIX_DBG0028,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,48.04,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,24.17,CC1=CC=CC=C1,Toluene,27.8,73.8,43.83,1.993,4.63,123.4,15.42,7.66,MIX_DBG0029,100.01,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,51.13,c1ccccc1,Benzene,25.11,c1ccccc1,Benzene,23.76,70.28,41.09,1.903,6.89,915.7,9.43,4.683,MIX_DBG0030,100.00000000000001,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,18.3,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,19.81,CC1=CC=CC=C1,Toluene,61.89,54.07,43.63,1.862,7.87,523.6,19.01,-0.655,MIX_DBG0031,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,34.68,CC1=CC=CC=C1,Toluene,28.35,CCO,Ethanol,36.97,47.88,51.42,0.894,9.93,581.2,23.99,2.94,MIX_DBG0032,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,30.77,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,9.89,c1ccccc1,Benzene,59.34,51.92,49.84,0.854,7.49,319.0,13.08,3.299,MIX_DBG0033,100.0,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,37.92,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,16.96,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,45.13,71.32,36.92,0.893,7.63,993.7,11.11,6.165,MIX_DBG0034,100.01,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,30.2,CC1=CC=CC=C1,Toluene,50.65,c1ccccc1,Benzene,19.15,36.96,62.41,1.233,8.15,942.8,11.38,3.412,MIX_DBG0035,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,8.67,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,50.0,c1ccccc1,Benzene,41.33,69.04,46.53,1.985,8.07,825.0,16.99,3.915,MIX_DBG0036,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,8.1,CC(C)O,Isopropanol,31.69,CC(C)O,Isopropanol,60.21,56.34,49.75,0.836,5.57,176.6,0.89,2.144,MIX_DBG0037,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,20.95,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,40.28,CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.77,70.91,83.11,1.137,7.95,393.0,17.51,6.194,MIX_DBG0038,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,54.52,CCO,Ethanol,31.57,CC(C)O,Isopropanol,13.91,57.58,52.65,1.425,6.89,316.6,14.18,4.094,MIX_DBG0039,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,26.75,CCC1=CC(=C(C=C1)O)C=O,Vanillin,40.58,c1ccccc1,Benzene,32.67,69.74,88.11,1.097,9.8,437.4,23.04,4.05,MIX_DBG0040,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,37.84,CCO,Ethanol,27.05,CCO,Ethanol,35.11,58.4,42.04,1.846,6.19,387.2,12.47,4.406,MIX_DBG0041,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,24.29,c1ccccc1,Benzene,45.96,CC(C)O,Isopropanol,29.75,45.32,45.13,1.769,7.15,730.7,22.28,4.641,MIX_DBG0042,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,32.73,CCO,Ethanol,29.37,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,37.91,54.41,73.59,1.941,4.5,111.5,15.0,2.689,MIX_DBG0043,100.00999999999999,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.2,c1ccccc1,Benzene,36.44,CCO,Ethanol,24.37,46.03,55.67,1.581,9.82,881.9,23.33,0.995,MIX_DBG0044,100.01,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,53.98,CC(=O)Oc1ccccc1C(=O)O,Aspirin,32.03,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,13.98,53.13,86.31,1.847,4.23,568.3,2.64,2.03,MIX_DBG0045,99.99,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,40.56,CC(C)O,Isopropanol,27.04,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,32.4,55.84,68.15,1.69,7.56,402.1,16.08,6.126,MIX_DBG0046,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,64.75,c1ccccc1,Benzene,20.23,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,15.02,29.52,80.25,1.77,4.72,787.8,5.57,-1.963,MIX_DBG0047,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,44.71,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,21.9,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,33.39,51.41,80.37,1.031,9.52,856.4,13.92,2.727,MIX_DBG0048,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,29.29,CC(C)O,Isopropanol,35.01,CCO,Ethanol,35.7,32.18,86.05,1.288,9.92,499.9,2.7,-0.097,MIX_DBG0049,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,46.97,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,43.51,c1ccccc1,Benzene,9.52,52.83,66.99,1.708,9.67,439.1,13.92,0.947,MIX_DBG0050,99.99999999999999,Synthetic mixture data with numeric features for debugging
