Sample_ID,Compound_1_Name,Compound_1_SMILES,Compound_1_WT%,Compound_2_Name,Compound_2_SMILES,Compound_2_WT%,Compound_3_Name,Compound_3_SMILES,Compound_3_WT%,Compound_4_Name,Compound_4_SMILES,Compound_4_WT%,Target_BoilingPoint_C
MIX4_0014,Isopropanol,CC(C)O,54.45,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,45.55,,,,,,,147.0
MIX4_0015,Cyclohexane,C1CCCCC1,26.5,Toluene,CC1=CC=CC=C1,23.93,Vanillin,CCC1=CC(=C(C=C1)O)C=O,49.57,,,,127.4
MIX4_0016,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,28.91,Isopropanol,CC(C)O,71.09,,,,,,,176.3
MIX4_0017,Cyclohexane,C1CCCCC1,51.55,Toluene,CC1=CC=CC=C1,48.45,,,,,,,109.3
MIX4_0018,Vanillin,CCC1=CC(=C(C=C1)O)C=O,43.77,Toluene,CC1=CC=CC=C1,56.23,,,,,,,192.6
MIX4_0019,Isopropanol,CC(C)O,29.97,Aspirin,CC(=O)Oc1ccccc1C(=O)O,29.89,Cyclohexane,C1CCCCC1,40.14,,,,67.5
MIX4_0020,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,72.58,Ethanol,CCO,27.42,,,,,,,141.0
MIX4_0021,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,49.19,Acetic Acid,CC(=O)O,40.59,Benzene,c1ccccc1,10.22,,,,130.7
MIX4_0022,Toluene,CC1=CC=CC=C1,9.56,Isopropanol,CC(C)O,47.74,Ethanol,CCO,42.7,,,,73.1
MIX4_0023,Benzene,c1ccccc1,28.38,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,71.62,,,,,,,134.5
MIX4_0024,Cyclohexane,C1CCCCC1,45.34,Acetic Acid,CC(=O)O,40.93,Ethanol,CCO,13.73,,,,174.7
MIX4_0025,Isopropanol,CC(C)O,25.65,Ethanol,CCO,25.41,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,28.74,Benzene,c1ccccc1,20.19,114.4
MIX4_0026,Aspirin,CC(=O)Oc1ccccc1C(=O)O,26.08,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,36.47,Benzene,c1ccccc1,37.45,,,,191.0
MIX4_0027,Ethanol,CCO,45.94,Vanillin,CCC1=CC(=C(C=C1)O)C=O,35.04,Cyclohexane,C1CCCCC1,19.02,,,,81.6
MIX4_0028,Benzene,c1ccccc1,30.31,Aspirin,CC(=O)Oc1ccccc1C(=O)O,59.6,Vanillin,CCC1=CC(=C(C=C1)O)C=O,10.09,,,,73.7
MIX4_0029,Benzene,c1ccccc1,26.6,Toluene,CC1=CC=CC=C1,19.26,Ethanol,CCO,54.14,,,,150.6
MIX4_0030,Acetic Acid,CC(=O)O,27.87,Toluene,CC1=CC=CC=C1,72.13,,,,,,,104.8
MIX4_0031,Toluene,CC1=CC=CC=C1,8.54,Acetic Acid,CC(=O)O,54.97,Benzene,c1ccccc1,36.48,,,,57.4
MIX4_0032,Toluene,CC1=CC=CC=C1,23.34,Acetic Acid,CC(=O)O,21.39,Aspirin,CC(=O)Oc1ccccc1C(=O)O,12.13,Cyclohexane,C1CCCCC1,43.14,186.2
MIX4_0033,Acetic Acid,CC(=O)O,29.11,Vanillin,CCC1=CC(=C(C=C1)O)C=O,27.63,Ethanol,CCO,18.32,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,24.95,121.4
MIX4_0034,Acetic Acid,CC(=O)O,22.13,Ethanol,CCO,77.87,,,,,,,190.2
MIX4_0035,Benzene,c1ccccc1,23.37,Aspirin,CC(=O)Oc1ccccc1C(=O)O,44.78,Ethanol,CCO,17.07,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,14.79,77.0
MIX4_0036,Benzene,c1ccccc1,45.72,Toluene,CC1=CC=CC=C1,36.57,Isopropanol,CC(C)O,17.7,,,,148.4
MIX4_0037,Acetic Acid,CC(=O)O,37.28,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,62.72,,,,,,,150.7
MIX4_0038,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,15.75,Ethanol,CCO,36.79,Aspirin,CC(=O)Oc1ccccc1C(=O)O,47.46,,,,119.1
MIX4_0039,Cyclohexane,C1CCCCC1,9.82,Toluene,CC1=CC=CC=C1,36.43,Isopropanol,CC(C)O,9.29,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,44.46,94.2
MIX4_0040,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,15.93,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,44.84,Ethanol,CCO,39.23,,,,139.6
MIX4_0041,Ethanol,CCO,6.87,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,37.69,Vanillin,CCC1=CC(=C(C=C1)O)C=O,23.69,Isopropanol,CC(C)O,31.75,169.3
MIX4_0042,Ethanol,CCO,69.71,Cyclohexane,C1CCCCC1,30.29,,,,,,,98.0
MIX4_0043,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,26.65,Benzene,c1ccccc1,73.35,,,,,,,62.8
MIX4_0044,Ethanol,CCO,33.1,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,6.5,Aspirin,CC(=O)Oc1ccccc1C(=O)O,18.21,Toluene,CC1=CC=CC=C1,42.19,150.8
MIX4_0045,Ethanol,CCO,42.99,Cyclohexane,C1CCCCC1,19.1,Vanillin,CCC1=CC(=C(C=C1)O)C=O,37.91,,,,140.7
MIX4_0046,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,28.36,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,36.13,Isopropanol,CC(C)O,19.83,Vanillin,CCC1=CC(=C(C=C1)O)C=O,15.68,102.6
MIX4_0047,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,35.16,Aspirin,CC(=O)Oc1ccccc1C(=O)O,9.4,Isopropanol,CC(C)O,11.11,Cyclohexane,C1CCCCC1,44.33,138.0
MIX4_0048,Vanillin,CCC1=CC(=C(C=C1)O)C=O,49.09,Acetic Acid,CC(=O)O,50.91,,,,,,,155.3
MIX4_0049,Aspirin,CC(=O)Oc1ccccc1C(=O)O,67.82,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,32.18,,,,,,,87.0
MIX4_0050,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,10.57,Toluene,CC1=CC=CC=C1,56.33,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,23.32,Benzene,c1ccccc1,9.78,171.5
